keyword,base_keyword,slug,url_path,category,subcategory,description,engine,generated,monthly_searches,ads_competition,competition_index,bid_low,bid_high,yoy,keyword_planner_keyword,avg_monthly_searches,three_month_change,yoy_change,competition,seo_priority
Barrels to Imperial Quarts Calculator,Barrels to Imperial Quarts,barrels-to-imperial-quarts-calculator,/barrels-to-imperial-quarts-calculator/,Conversion,volume,Convert barrels to imperial quarts with a direct unit conversion factor.,linear_convert,True,,,,,,,barrels to imperial quarts calculator,0,,,,Hold
Barrels to Liters Calculator,Barrels to Liters,barrels-to-liters-calculator,/barrels-to-liters-calculator/,Conversion,volume,Convert barrels to liters with a direct unit conversion factor.,linear_convert,True,,,,,,,barrels to liters calculator,0,0%,0%,,Hold
Barrels to Milliliters Calculator,Barrels to Milliliters,barrels-to-milliliters-calculator,/barrels-to-milliliters-calculator/,Conversion,volume,Convert barrels to milliliters with a direct unit conversion factor.,linear_convert,True,,,,,,,barrels to milliliters calculator,0,,,,Hold
Barrels to Pints Calculator,Barrels to Pints,barrels-to-pints-calculator,/barrels-to-pints-calculator/,Conversion,volume,Convert barrels to pints with a direct unit conversion factor.,linear_convert,True,,,,,,,barrels to pints calculator,0,,,,Hold
Barrels to Quarts Calculator,Barrels to Quarts,barrels-to-quarts-calculator,/barrels-to-quarts-calculator/,Conversion,volume,Convert barrels to quarts with a direct unit conversion factor.,linear_convert,True,,,,,,,barrels to quarts calculator,0,,,,Hold
Barrels to Tablespoons Calculator,Barrels to Tablespoons,barrels-to-tablespoons-calculator,/barrels-to-tablespoons-calculator/,Conversion,volume,Convert barrels to tablespoons with a direct unit conversion factor.,linear_convert,True,,,,,,,barrels to tablespoons calculator,0,,,,Hold
Barrels to Teaspoons Calculator,Barrels to Teaspoons,barrels-to-teaspoons-calculator,/barrels-to-teaspoons-calculator/,Conversion,volume,Convert barrels to teaspoons with a direct unit conversion factor.,linear_convert,True,,,,,,,barrels to teaspoons calculator,0,,,,Hold
Bits to Gibibytes Calculator,Bits to Gibibytes,bits-to-gibibytes-calculator,/bits-to-gibibytes-calculator/,Conversion,data storage,Convert bits to gibibytes with a direct unit conversion factor.,linear_convert,True,,,,,,,bits to gibibytes calculator,0,,,,Hold
Bits to Gigabits Calculator,Bits to Gigabits,bits-to-gigabits-calculator,/bits-to-gigabits-calculator/,Conversion,data storage,Convert bits to gigabits with a direct unit conversion factor.,linear_convert,True,,,,,,,bits to gigabits calculator,0,,,,Hold
Bits to Gigabytes Calculator,Bits to Gigabytes,bits-to-gigabytes-calculator,/bits-to-gigabytes-calculator/,Conversion,data storage,Convert bits to gigabytes with a direct unit conversion factor.,linear_convert,True,,,,,,,bits to gigabytes calculator,0,,,,Hold
Bits to Kibibytes Calculator,Bits to Kibibytes,bits-to-kibibytes-calculator,/bits-to-kibibytes-calculator/,Conversion,data storage,Convert bits to kibibytes with a direct unit conversion factor.,linear_convert,True,,,,,,,bits to kibibytes calculator,0,,,,Hold
Bits to Kilobytes Calculator,Bits to Kilobytes,bits-to-kilobytes-calculator,/bits-to-kilobytes-calculator/,Conversion,data storage,Convert bits to kilobytes with a direct unit conversion factor.,linear_convert,True,,,,,,,bits to kilobytes calculator,0,,,,Hold
Bits to Mebibytes Calculator,Bits to Mebibytes,bits-to-mebibytes-calculator,/bits-to-mebibytes-calculator/,Conversion,data storage,Convert bits to mebibytes with a direct unit conversion factor.,linear_convert,True,,,,,,,bits to mebibytes calculator,0,,,,Hold
Bits to Megabits Calculator,Bits to Megabits,bits-to-megabits-calculator,/bits-to-megabits-calculator/,Conversion,data storage,Convert bits to megabits with a direct unit conversion factor.,linear_convert,True,,,,,,,bits to megabits calculator,0,,,,Hold
Bits to Megabytes Calculator,Bits to Megabytes,bits-to-megabytes-calculator,/bits-to-megabytes-calculator/,Conversion,data storage,Convert bits to megabytes with a direct unit conversion factor.,linear_convert,True,,,,,,,bits to megabytes calculator,0,,,,Hold
Bits to Petabytes Calculator,Bits to Petabytes,bits-to-petabytes-calculator,/bits-to-petabytes-calculator/,Conversion,data storage,Convert bits to petabytes with a direct unit conversion factor.,linear_convert,True,,,,,,,bits to petabytes calculator,0,,,,Hold
Bits to Tebibytes Calculator,Bits to Tebibytes,bits-to-tebibytes-calculator,/bits-to-tebibytes-calculator/,Conversion,data storage,Convert bits to tebibytes with a direct unit conversion factor.,linear_convert,True,,,,,,,bits to tebibytes calculator,0,,,,Hold
Bits to Terabits Calculator,Bits to Terabits,bits-to-terabits-calculator,/bits-to-terabits-calculator/,Conversion,data storage,Convert bits to terabits with a direct unit conversion factor.,linear_convert,True,,,,,,,bits to terabits calculator,0,,,,Hold
Bits to Terabytes Calculator,Bits to Terabytes,bits-to-terabytes-calculator,/bits-to-terabytes-calculator/,Conversion,data storage,Convert bits to terabytes with a direct unit conversion factor.,linear_convert,True,,,,,,,bits to terabytes calculator,0,,,,Hold
British Thermal Units to Calories Calculator,British Thermal Units to Calories,british-thermal-units-to-calories-calculator,/british-thermal-units-to-calories-calculator/,Conversion,energy,Convert british thermal units to calories with a direct unit conversion factor.,linear_convert,True,,,,,,,british thermal units to calories calculator,0,,,,Hold
British Thermal Units to Electronvolts Calculator,British Thermal Units to Electronvolts,british-thermal-units-to-electronvolts-calculator,/british-thermal-units-to-electronvolts-calculator/,Conversion,energy,Convert british thermal units to electronvolts with a direct unit conversion factor.,linear_convert,True,,,,,,,british thermal units to electronvolts calculator,0,,,,Hold
British Thermal Units to Foot Pounds Calculator,British Thermal Units to Foot Pounds,british-thermal-units-to-foot-pounds-calculator,/british-thermal-units-to-foot-pounds-calculator/,Conversion,energy,Convert british thermal units to foot pounds with a direct unit conversion factor.,linear_convert,True,,,,,,,british thermal units to foot pounds calculator,0,,,,Hold
British Thermal Units to Joules Calculator,British Thermal Units to Joules,british-thermal-units-to-joules-calculator,/british-thermal-units-to-joules-calculator/,Conversion,energy,Convert british thermal units to joules with a direct unit conversion factor.,linear_convert,True,,,,,,,british thermal units to joules calculator,0,,,,Hold
British Thermal Units to Kilocalories Calculator,British Thermal Units to Kilocalories,british-thermal-units-to-kilocalories-calculator,/british-thermal-units-to-kilocalories-calculator/,Conversion,energy,Convert british thermal units to kilocalories with a direct unit conversion factor.,linear_convert,True,,,,,,,british thermal units to kilocalories calculator,0,,,,Hold
British Thermal Units to Kilojoules Calculator,British Thermal Units to Kilojoules,british-thermal-units-to-kilojoules-calculator,/british-thermal-units-to-kilojoules-calculator/,Conversion,energy,Convert british thermal units to kilojoules with a direct unit conversion factor.,linear_convert,True,,,,,,,british thermal units to kilojoules calculator,0,,,,Hold
British Thermal Units to Kilowatt Hours Calculator,British Thermal Units to Kilowatt Hours,british-thermal-units-to-kilowatt-hours-calculator,/british-thermal-units-to-kilowatt-hours-calculator/,Conversion,energy,Convert british thermal units to kilowatt hours with a direct unit conversion factor.,linear_convert,True,,,,,,,british thermal units to kilowatt hours calculator,0,,,,Hold
British Thermal Units to Megajoules Calculator,British Thermal Units to Megajoules,british-thermal-units-to-megajoules-calculator,/british-thermal-units-to-megajoules-calculator/,Conversion,energy,Convert british thermal units to megajoules with a direct unit conversion factor.,linear_convert,True,,,,,,,british thermal units to megajoules calculator,0,,,,Hold
British Thermal Units to Therms Calculator,British Thermal Units to Therms,british-thermal-units-to-therms-calculator,/british-thermal-units-to-therms-calculator/,Conversion,energy,Convert british thermal units to therms with a direct unit conversion factor.,linear_convert,True,,,,,,,british thermal units to therms calculator,0,,,,Hold
British Thermal Units to Watt Hours Calculator,British Thermal Units to Watt Hours,british-thermal-units-to-watt-hours-calculator,/british-thermal-units-to-watt-hours-calculator/,Conversion,energy,Convert british thermal units to watt hours with a direct unit conversion factor.,linear_convert,True,,,,,,,british thermal units to watt hours calculator,0,,,,Hold
Btu Per Hour to Calories Per Second Calculator,Btu Per Hour to Calories Per Second,btu-per-hour-to-calories-per-second-calculator,/btu-per-hour-to-calories-per-second-calculator/,Conversion,power,Convert btu per hour to calories per second with a direct unit conversion factor.,linear_convert,True,,,,,,,btu per hour to calories per second calculator,0,,,,Hold
Btu Per Hour to Foot Pounds Per Second Calculator,Btu Per Hour to Foot Pounds Per Second,btu-per-hour-to-foot-pounds-per-second-calculator,/btu-per-hour-to-foot-pounds-per-second-calculator/,Conversion,power,Convert btu per hour to foot pounds per second with a direct unit conversion factor.,linear_convert,True,,,,,,,btu per hour to foot pounds per second calculator,0,,,,Hold
Btu Per Hour to Horsepower Calculator,Btu Per Hour to Horsepower,btu-per-hour-to-horsepower-calculator,/btu-per-hour-to-horsepower-calculator/,Conversion,power,Convert btu per hour to horsepower with a direct unit conversion factor.,linear_convert,True,,,,,,,btu per hour to horsepower calculator,0,,,,Hold
Btu Per Hour to Kilowatts Calculator,Btu Per Hour to Kilowatts,btu-per-hour-to-kilowatts-calculator,/btu-per-hour-to-kilowatts-calculator/,Conversion,power,Convert btu per hour to kilowatts with a direct unit conversion factor.,linear_convert,True,,,,,,,btu per hour to kilowatts calculator,0,,,,Hold
Btu Per Hour to Megawatts Calculator,Btu Per Hour to Megawatts,btu-per-hour-to-megawatts-calculator,/btu-per-hour-to-megawatts-calculator/,Conversion,power,Convert btu per hour to megawatts with a direct unit conversion factor.,linear_convert,True,,,,,,,btu per hour to megawatts calculator,0,,,,Hold
Btu Per Hour to Metric Horsepower Calculator,Btu Per Hour to Metric Horsepower,btu-per-hour-to-metric-horsepower-calculator,/btu-per-hour-to-metric-horsepower-calculator/,Conversion,power,Convert btu per hour to metric horsepower with a direct unit conversion factor.,linear_convert,True,,,,,,,btu per hour to metric horsepower calculator,0,,,,Hold
Btu Per Hour to Tons Of Refrigeration Calculator,Btu Per Hour to Tons Of Refrigeration,btu-per-hour-to-tons-of-refrigeration-calculator,/btu-per-hour-to-tons-of-refrigeration-calculator/,Conversion,power,Convert btu per hour to tons of refrigeration with a direct unit conversion factor.,linear_convert,True,,,,,,,btu per hour to tons of refrigeration calculator,0,,,,Hold
Btu Per Hour to Watts Calculator,Btu Per Hour to Watts,btu-per-hour-to-watts-calculator,/btu-per-hour-to-watts-calculator/,Conversion,power,Convert btu per hour to watts with a direct unit conversion factor.,linear_convert,True,,,,,,,btu per hour to watts calculator,0,,,,Hold
Bytes to Bits Calculator,Bytes to Bits,bytes-to-bits-calculator,/bytes-to-bits-calculator/,Conversion,data storage,Convert bytes to bits with a direct unit conversion factor.,linear_convert,True,,,,,,,,0,,,,Hold
Bytes to Gibibytes Calculator,Bytes to Gibibytes,bytes-to-gibibytes-calculator,/bytes-to-gibibytes-calculator/,Conversion,data storage,Convert bytes to gibibytes with a direct unit conversion factor.,linear_convert,True,,,,,,,bytes to gibibytes calculator,0,,,,Hold
Bytes to Gigabits Calculator,Bytes to Gigabits,bytes-to-gigabits-calculator,/bytes-to-gigabits-calculator/,Conversion,data storage,Convert bytes to gigabits with a direct unit conversion factor.,linear_convert,True,,,,,,,bytes to gigabits calculator,0,,,,Hold
Bytes to Kibibytes Calculator,Bytes to Kibibytes,bytes-to-kibibytes-calculator,/bytes-to-kibibytes-calculator/,Conversion,data storage,Convert bytes to kibibytes with a direct unit conversion factor.,linear_convert,True,,,,,,,bytes to kibibytes calculator,0,,,,Hold
Bytes to Kilobytes Calculator,Bytes to Kilobytes,bytes-to-kilobytes-calculator,/bytes-to-kilobytes-calculator/,Conversion,data storage,Convert bytes to kilobytes with a direct unit conversion factor.,linear_convert,True,,,,,,,bytes to kilobytes calculator,0,0%,0%,,Hold
Bytes to Mebibytes Calculator,Bytes to Mebibytes,bytes-to-mebibytes-calculator,/bytes-to-mebibytes-calculator/,Conversion,data storage,Convert bytes to mebibytes with a direct unit conversion factor.,linear_convert,True,,,,,,,bytes to mebibytes calculator,0,,,,Hold
Bytes to Megabits Calculator,Bytes to Megabits,bytes-to-megabits-calculator,/bytes-to-megabits-calculator/,Conversion,data storage,Convert bytes to megabits with a direct unit conversion factor.,linear_convert,True,,,,,,,bytes to megabits calculator,0,,,,Hold
Bytes to Petabytes Calculator,Bytes to Petabytes,bytes-to-petabytes-calculator,/bytes-to-petabytes-calculator/,Conversion,data storage,Convert bytes to petabytes with a direct unit conversion factor.,linear_convert,True,,,,,,,bytes to petabytes calculator,0,,,,Hold
Bytes to Tebibytes Calculator,Bytes to Tebibytes,bytes-to-tebibytes-calculator,/bytes-to-tebibytes-calculator/,Conversion,data storage,Convert bytes to tebibytes with a direct unit conversion factor.,linear_convert,True,,,,,,,bytes to tebibytes calculator,0,,,,Hold
Bytes to Terabits Calculator,Bytes to Terabits,bytes-to-terabits-calculator,/bytes-to-terabits-calculator/,Conversion,data storage,Convert bytes to terabits with a direct unit conversion factor.,linear_convert,True,,,,,,,bytes to terabits calculator,0,,,,Hold
Bytes to Terabytes Calculator,Bytes to Terabytes,bytes-to-terabytes-calculator,/bytes-to-terabytes-calculator/,Conversion,data storage,Convert bytes to terabytes with a direct unit conversion factor.,linear_convert,True,,,,,,,bytes to terabytes calculator,0,0%,0%,,Hold
Calories Per Second to Btu Per Hour Calculator,Calories Per Second to Btu Per Hour,calories-per-second-to-btu-per-hour-calculator,/calories-per-second-to-btu-per-hour-calculator/,Conversion,power,Convert calories per second to btu per hour with a direct unit conversion factor.,linear_convert,True,,,,,,,calories per second to btu per hour calculator,0,,,,Hold
Calories Per Second to Foot Pounds Per Second Calculator,Calories Per Second to Foot Pounds Per Second,calories-per-second-to-foot-pounds-per-second-calculator,/calories-per-second-to-foot-pounds-per-second-calculator/,Conversion,power,Convert calories per second to foot pounds per second with a direct unit conversion factor.,linear_convert,True,,,,,,,calories per second to foot pounds per second calculator,0,,,,Hold
Calories Per Second to Horsepower Calculator,Calories Per Second to Horsepower,calories-per-second-to-horsepower-calculator,/calories-per-second-to-horsepower-calculator/,Conversion,power,Convert calories per second to horsepower with a direct unit conversion factor.,linear_convert,True,,,,,,,calories per second to horsepower calculator,0,,,,Hold
Calories Per Second to Kilowatts Calculator,Calories Per Second to Kilowatts,calories-per-second-to-kilowatts-calculator,/calories-per-second-to-kilowatts-calculator/,Conversion,power,Convert calories per second to kilowatts with a direct unit conversion factor.,linear_convert,True,,,,,,,calories per second to kilowatts calculator,0,,,,Hold
Calories Per Second to Megawatts Calculator,Calories Per Second to Megawatts,calories-per-second-to-megawatts-calculator,/calories-per-second-to-megawatts-calculator/,Conversion,power,Convert calories per second to megawatts with a direct unit conversion factor.,linear_convert,True,,,,,,,calories per second to megawatts calculator,0,,,,Hold
Calories Per Second to Metric Horsepower Calculator,Calories Per Second to Metric Horsepower,calories-per-second-to-metric-horsepower-calculator,/calories-per-second-to-metric-horsepower-calculator/,Conversion,power,Convert calories per second to metric horsepower with a direct unit conversion factor.,linear_convert,True,,,,,,,calories per second to metric horsepower calculator,0,,,,Hold
Calories Per Second to Tons Of Refrigeration Calculator,Calories Per Second to Tons Of Refrigeration,calories-per-second-to-tons-of-refrigeration-calculator,/calories-per-second-to-tons-of-refrigeration-calculator/,Conversion,power,Convert calories per second to tons of refrigeration with a direct unit conversion factor.,linear_convert,True,,,,,,,calories per second to tons of refrigeration calculator,0,,,,Hold
Calories Per Second to Watts Calculator,Calories Per Second to Watts,calories-per-second-to-watts-calculator,/calories-per-second-to-watts-calculator/,Conversion,power,Convert calories per second to watts with a direct unit conversion factor.,linear_convert,True,,,,,,,calories per second to watts calculator,0,,,,Hold
Calories to British Thermal Units Calculator,Calories to British Thermal Units,calories-to-british-thermal-units-calculator,/calories-to-british-thermal-units-calculator/,Conversion,energy,Convert calories to british thermal units with a direct unit conversion factor.,linear_convert,True,,,,,,,calories to british thermal units calculator,0,,,,Hold
Calories to Electronvolts Calculator,Calories to Electronvolts,calories-to-electronvolts-calculator,/calories-to-electronvolts-calculator/,Conversion,energy,Convert calories to electronvolts with a direct unit conversion factor.,linear_convert,True,,,,,,,calories to electronvolts calculator,0,,,,Hold
Calories to Foot Pounds Calculator,Calories to Foot Pounds,calories-to-foot-pounds-calculator,/calories-to-foot-pounds-calculator/,Conversion,energy,Convert calories to foot pounds with a direct unit conversion factor.,linear_convert,True,,,,,,,calories to foot pounds calculator,0,,,,Hold
Calories to Kilowatt Hours Calculator,Calories to Kilowatt Hours,calories-to-kilowatt-hours-calculator,/calories-to-kilowatt-hours-calculator/,Conversion,energy,Convert calories to kilowatt hours with a direct unit conversion factor.,linear_convert,True,,,,,,,calories to kilowatt hours calculator,0,,,,Hold
Calories to Megajoules Calculator,Calories to Megajoules,calories-to-megajoules-calculator,/calories-to-megajoules-calculator/,Conversion,energy,Convert calories to megajoules with a direct unit conversion factor.,linear_convert,True,,,,,,,calories to megajoules calculator,0,,,,Hold
Calories to Therms Calculator,Calories to Therms,calories-to-therms-calculator,/calories-to-therms-calculator/,Conversion,energy,Convert calories to therms with a direct unit conversion factor.,linear_convert,True,,,,,,,calories to therms calculator,0,,,,Hold
Calories to Watt Hours Calculator,Calories to Watt Hours,calories-to-watt-hours-calculator,/calories-to-watt-hours-calculator/,Conversion,energy,Convert calories to watt hours with a direct unit conversion factor.,linear_convert,True,,,,,,,calories to watt hours calculator,0,,,,Hold
Carats to Drams Calculator,Carats to Drams,carats-to-drams-calculator,/carats-to-drams-calculator/,Conversion,weight,Convert carats to drams with a direct unit conversion factor.,linear_convert,True,,,,,,,carats to drams calculator,0,,,,Hold
Carats to Grains Calculator,Carats to Grains,carats-to-grains-calculator,/carats-to-grains-calculator/,Conversion,weight,Convert carats to grains with a direct unit conversion factor.,linear_convert,True,,,,,,,carats to grains calculator,0,,,,Hold
Carats to Grams Calculator,Carats to Grams,carats-to-grams-calculator,/carats-to-grams-calculator/,Conversion,weight,Convert carats to grams with a direct unit conversion factor.,linear_convert,True,,,,,,,carats to grams calculator,0,,,,Hold
Carats to Kilograms Calculator,Carats to Kilograms,carats-to-kilograms-calculator,/carats-to-kilograms-calculator/,Conversion,weight,Convert carats to kilograms with a direct unit conversion factor.,linear_convert,True,,,,,,,carats to kilograms calculator,0,,,,Hold
Carats to Long Tons Calculator,Carats to Long Tons,carats-to-long-tons-calculator,/carats-to-long-tons-calculator/,Conversion,weight,Convert carats to long tons with a direct unit conversion factor.,linear_convert,True,,,,,,,carats to long tons calculator,0,,,,Hold
Carats to Metric Tons Calculator,Carats to Metric Tons,carats-to-metric-tons-calculator,/carats-to-metric-tons-calculator/,Conversion,weight,Convert carats to metric tons with a direct unit conversion factor.,linear_convert,True,,,,,,,carats to metric tons calculator,0,,,,Hold
Carats to Micrograms Calculator,Carats to Micrograms,carats-to-micrograms-calculator,/carats-to-micrograms-calculator/,Conversion,weight,Convert carats to micrograms with a direct unit conversion factor.,linear_convert,True,,,,,,,carats to micrograms calculator,0,,,,Hold
Carats to Milligrams Calculator,Carats to Milligrams,carats-to-milligrams-calculator,/carats-to-milligrams-calculator/,Conversion,weight,Convert carats to milligrams with a direct unit conversion factor.,linear_convert,True,,,,,,,carats to milligrams calculator,0,,,,Hold
Carats to Ounces Calculator,Carats to Ounces,carats-to-ounces-calculator,/carats-to-ounces-calculator/,Conversion,weight,Convert carats to ounces with a direct unit conversion factor.,linear_convert,True,,,,,,,carats to ounces calculator,0,,,,Hold
Carats to Pennyweights Calculator,Carats to Pennyweights,carats-to-pennyweights-calculator,/carats-to-pennyweights-calculator/,Conversion,weight,Convert carats to pennyweights with a direct unit conversion factor.,linear_convert,True,,,,,,,carats to pennyweights calculator,0,,,,Hold
Carats to Pounds Calculator,Carats to Pounds,carats-to-pounds-calculator,/carats-to-pounds-calculator/,Conversion,weight,Convert carats to pounds with a direct unit conversion factor.,linear_convert,True,,,,,,,carats to pounds calculator,0,,,,Hold
Carats to Quintals Calculator,Carats to Quintals,carats-to-quintals-calculator,/carats-to-quintals-calculator/,Conversion,weight,Convert carats to quintals with a direct unit conversion factor.,linear_convert,True,,,,,,,carats to quintals calculator,0,,,,Hold
Carats to Short Tons Calculator,Carats to Short Tons,carats-to-short-tons-calculator,/carats-to-short-tons-calculator/,Conversion,weight,Convert carats to short tons with a direct unit conversion factor.,linear_convert,True,,,,,,,carats to short tons calculator,0,,,,Hold
Carats to Slugs Calculator,Carats to Slugs,carats-to-slugs-calculator,/carats-to-slugs-calculator/,Conversion,weight,Convert carats to slugs with a direct unit conversion factor.,linear_convert,True,,,,,,,carats to slugs calculator,0,,,,Hold
Carats to Stones Calculator,Carats to Stones,carats-to-stones-calculator,/carats-to-stones-calculator/,Conversion,weight,Convert carats to stones with a direct unit conversion factor.,linear_convert,True,,,,,,,carats to stones calculator,0,,,,Hold
Carats to Troy Ounces Calculator,Carats to Troy Ounces,carats-to-troy-ounces-calculator,/carats-to-troy-ounces-calculator/,Conversion,weight,Convert carats to troy ounces with a direct unit conversion factor.,linear_convert,True,,,,,,,carats to troy ounces calculator,0,,,,Hold
Carats to Troy Pounds Calculator,Carats to Troy Pounds,carats-to-troy-pounds-calculator,/carats-to-troy-pounds-calculator/,Conversion,weight,Convert carats to troy pounds with a direct unit conversion factor.,linear_convert,True,,,,,,,carats to troy pounds calculator,0,,,,Hold
Centimeters Per Second to Feet Per Second Calculator,Centimeters Per Second to Feet Per Second,centimeters-per-second-to-feet-per-second-calculator,/centimeters-per-second-to-feet-per-second-calculator/,Conversion,speed,Convert centimeters per second to feet per second with a direct unit conversion factor.,linear_convert,True,,,,,,,centimeters per second to feet per second calculator,0,,,,Hold
Centimeters Per Second to Inches Per Second Calculator,Centimeters Per Second to Inches Per Second,centimeters-per-second-to-inches-per-second-calculator,/centimeters-per-second-to-inches-per-second-calculator/,Conversion,speed,Convert centimeters per second to inches per second with a direct unit conversion factor.,linear_convert,True,,,,,,,centimeters per second to inches per second calculator,0,,,,Hold
Centimeters Per Second to Kilometers Per Hour Calculator,Centimeters Per Second to Kilometers Per Hour,centimeters-per-second-to-kilometers-per-hour-calculator,/centimeters-per-second-to-kilometers-per-hour-calculator/,Conversion,speed,Convert centimeters per second to kilometers per hour with a direct unit conversion factor.,linear_convert,True,,,,,,,centimeters per second to kilometers per hour calculator,0,,,,Hold
Centimeters Per Second to Knots Calculator,Centimeters Per Second to Knots,centimeters-per-second-to-knots-calculator,/centimeters-per-second-to-knots-calculator/,Conversion,speed,Convert centimeters per second to knots with a direct unit conversion factor.,linear_convert,True,,,,,,,centimeters per second to knots calculator,0,,,,Hold
Centimeters Per Second to Mach Calculator,Centimeters Per Second to Mach,centimeters-per-second-to-mach-calculator,/centimeters-per-second-to-mach-calculator/,Conversion,speed,Convert centimeters per second to mach with a direct unit conversion factor.,linear_convert,True,,,,,,,centimeters per second to mach calculator,0,,,,Hold
Centimeters Per Second to Meters Per Second Calculator,Centimeters Per Second to Meters Per Second,centimeters-per-second-to-meters-per-second-calculator,/centimeters-per-second-to-meters-per-second-calculator/,Conversion,speed,Convert centimeters per second to meters per second with a direct unit conversion factor.,linear_convert,True,,,,,,,centimeters per second to meters per second calculator,0,,,,Hold
Centimeters Per Second to Miles Per Hour Calculator,Centimeters Per Second to Miles Per Hour,centimeters-per-second-to-miles-per-hour-calculator,/centimeters-per-second-to-miles-per-hour-calculator/,Conversion,speed,Convert centimeters per second to miles per hour with a direct unit conversion factor.,linear_convert,True,,,,,,,centimeters per second to miles per hour calculator,0,,,,Hold
Centimeters Per Second to Minutes Per Kilometer Calculator,Centimeters Per Second to Minutes Per Kilometer,centimeters-per-second-to-minutes-per-kilometer-calculator,/centimeters-per-second-to-minutes-per-kilometer-calculator/,Conversion,speed,Convert centimeters per second to minutes per kilometer with a direct unit conversion factor.,linear_convert,True,,,,,,,centimeters per second to minutes per kilometer calculator,0,,,,Hold
Centimeters Per Second to Minutes Per Mile Calculator,Centimeters Per Second to Minutes Per Mile,centimeters-per-second-to-minutes-per-mile-calculator,/centimeters-per-second-to-minutes-per-mile-calculator/,Conversion,speed,Convert centimeters per second to minutes per mile with a direct unit conversion factor.,linear_convert,True,,,,,,,centimeters per second to minutes per mile calculator,0,,,,Hold
Centimeters Per Second to Yards Per Second Calculator,Centimeters Per Second to Yards Per Second,centimeters-per-second-to-yards-per-second-calculator,/centimeters-per-second-to-yards-per-second-calculator/,Conversion,speed,Convert centimeters per second to yards per second with a direct unit conversion factor.,linear_convert,True,,,,,,,centimeters per second to yards per second calculator,0,,,,Hold
Centimeters to Astronomical Units Calculator,Centimeters to Astronomical Units,centimeters-to-astronomical-units-calculator,/centimeters-to-astronomical-units-calculator/,Conversion,length,Convert centimeters to astronomical units with a direct unit conversion factor.,linear_convert,True,,,,,,,centimeters to astronomical units calculator,0,,,,Hold
Centimeters to Chains Calculator,Centimeters to Chains,centimeters-to-chains-calculator,/centimeters-to-chains-calculator/,Conversion,length,Convert centimeters to chains with a direct unit conversion factor.,linear_convert,True,,,,,,,centimeters to chains calculator,0,,,,Hold
Centimeters to Decimeters Calculator,Centimeters to Decimeters,centimeters-to-decimeters-calculator,/centimeters-to-decimeters-calculator/,Conversion,length,Convert centimeters to decimeters with a direct unit conversion factor.,linear_convert,True,,,,,,,centimeters to decimeters calculator,0,,,,Hold
Centimeters to Fathoms Calculator,Centimeters to Fathoms,centimeters-to-fathoms-calculator,/centimeters-to-fathoms-calculator/,Conversion,length,Convert centimeters to fathoms with a direct unit conversion factor.,linear_convert,True,,,,,,,centimeters to fathoms calculator,0,,,,Hold
Centimeters to Furlongs Calculator,Centimeters to Furlongs,centimeters-to-furlongs-calculator,/centimeters-to-furlongs-calculator/,Conversion,length,Convert centimeters to furlongs with a direct unit conversion factor.,linear_convert,True,,,,,,,centimeters to furlongs calculator,0,,,,Hold
Centimeters to Hectometers Calculator,Centimeters to Hectometers,centimeters-to-hectometers-calculator,/centimeters-to-hectometers-calculator/,Conversion,length,Convert centimeters to hectometers with a direct unit conversion factor.,linear_convert,True,,,,,,,centimeters to hectometers calculator,0,,,,Hold
Centimeters to Light Seconds Calculator,Centimeters to Light Seconds,centimeters-to-light-seconds-calculator,/centimeters-to-light-seconds-calculator/,Conversion,length,Convert centimeters to light seconds with a direct unit conversion factor.,linear_convert,True,,,,,,,centimeters to light seconds calculator,0,,,,Hold
Centimeters to Light Years Calculator,Centimeters to Light Years,centimeters-to-light-years-calculator,/centimeters-to-light-years-calculator/,Conversion,length,Convert centimeters to light years with a direct unit conversion factor.,linear_convert,True,,,,,,,centimeters to light years calculator,0,,,,Hold
Centimeters to Micrometers Calculator,Centimeters to Micrometers,centimeters-to-micrometers-calculator,/centimeters-to-micrometers-calculator/,Conversion,length,Convert centimeters to micrometers with a direct unit conversion factor.,linear_convert,True,,,,,,,centimeters to micrometers calculator,0,,,,Hold
Centimeters to Miles Calculator,Centimeters to Miles,centimeters-to-miles-calculator,/centimeters-to-miles-calculator/,Conversion,length,Convert centimeters to miles with a direct unit conversion factor.,linear_convert,True,,,,,,,centimeters to miles calculator,0,,,,Hold
Centimeters to Mils Calculator,Centimeters to Mils,centimeters-to-mils-calculator,/centimeters-to-mils-calculator/,Conversion,length,Convert centimeters to mils with a direct unit conversion factor.,linear_convert,True,,,,,,,centimeters to mils calculator,0,,,,Hold
Centimeters to Nanometers Calculator,Centimeters to Nanometers,centimeters-to-nanometers-calculator,/centimeters-to-nanometers-calculator/,Conversion,length,Convert centimeters to nanometers with a direct unit conversion factor.,linear_convert,True,,,,,,,centimeters to nanometers calculator,0,,,,Hold
Centimeters to Nautical Miles Calculator,Centimeters to Nautical Miles,centimeters-to-nautical-miles-calculator,/centimeters-to-nautical-miles-calculator/,Conversion,length,Convert centimeters to nautical miles with a direct unit conversion factor.,linear_convert,True,,,,,,,centimeters to nautical miles calculator,0,,,,Hold
Centimeters to Parsecs Calculator,Centimeters to Parsecs,centimeters-to-parsecs-calculator,/centimeters-to-parsecs-calculator/,Conversion,length,Convert centimeters to parsecs with a direct unit conversion factor.,linear_convert,True,,,,,,,centimeters to parsecs calculator,0,,,,Hold
